z color ID
0.139000 0.945000 020649.47-041452.7
0.141000 0.803000 021359.31-043945.1
0.142000 0.811000 38.248043
0.152000 0.663000 021838.92-042041.3
0.166000 -1.333000 022012.23-034111.7
0.184000 0.935000 223702.93+011120.2
0.190000 0.739000 37.321279
0.198000 0.918000 020201.75-045221.7
0.206000 0.883000 38.227777
0.212000 0.848000 020427.68-043739.2
0.215000 1.164000 022253.61-042929.2
0.219500 1.317000 142648.77+005323.2
0.223500 1.181000 222230.16+010231.4
0.231000 1.494000 020139.25-050118.7
0.236000 0.900000 021342.89-060758.4
0.243458 0.643000 021020.43-034226.1
0.252000 1.153000 020414.13-041323.8
0.253000 0.773000 022024.78-050231.8
0.259900 1.379000 115758.72-002220.9
0.260700 0.817000 115755.47+001704.0
0.260800 1.055000 090054.40+012605.3
0.272405 1.170000 021303.34-034801.4
0.276000 0.872000 022202.76-050944.5
0.281000 1.265000 141751.13+522311.0
0.286000 1.213000 020711.13-051544.3
0.290000 1.370000 021936.14-034802.0
0.292000 0.515000 021930.51-055643.0
0.293000 1.376000 222315.10-002610.5
0.297000 1.007000 021309.12-055142.8
0.299000 1.137000 022435.81-053645.6
0.300000 0.998000 021504.48-044618.9
0.307000 1.085000 37.368373999999996
0.307900 1.159000 161725.41+435843.4
0.314000 1.476000 020507.27-041135.6
0.315000 0.885000 021759.71-034359.9
0.318000 1.401000 022711.99-033353.2
0.318300 2.661000 142441.20-000727.1
0.322000 1.287000 022430.56-050841.8
0.324000 0.763000 021637.68-045923.2
0.324700 1.079000 143624.81-002905.3
0.326000 1.384000 020411.47-051032.7
0.326000 1.078000 37.552353000000004
0.326300 1.134000 142545.90+002242.7
0.328700 1.296000 084940.34+014638.4
0.330700 1.007000 162308.00+430646.1
0.331000 1.226000 022651.77-045715.0
0.332000 1.251000 020423.94-050619.6
0.333000 1.176000 142800.19-001026.9
0.334000 1.880000 37.705566999999995
0.347000 1.551000 021350.92-040819.3
0.351500 1.325000 143929.51-001118.3
0.353800 1.508000 090550.30+003948.1
0.354000 1.079000 38.155134000000004
0.358000 1.082000 37.570149
0.362000 1.358000 020514.77-045639.7
0.363000 1.145000 37.661116
0.364000 1.230000 37.649283000000004
0.365000 1.484000 37.233151
0.366000 1.268000 142310.36-003244.2
0.372000 0.977000 021839.30-040821.4
0.374000 0.612000 37.110304
0.376000 1.135000 020717.51-045105.9
0.378000 1.241000 38.222424
0.383300 1.085000 120710.25+000806.1
0.385000 1.398000 021359.12-054436.6
0.387700 1.603000 224139.03+003808.3
0.394000 1.509000 020515.23-043959.6
0.399000 2.311000 120729.36-003214.3
0.400400 1.320000 221155.73-001043.9
0.404000 1.211000 020102.88-044519.0
0.406500 1.341000 144233.13-010210.6
0.408000 1.900000 120039.06-002046.8
0.408600 1.328000 221311.03+000724.5
0.412700 1.416000 085056.94+014711.0
0.417000 1.667000 084617.25+015536.1
0.417400 1.166000 084701.78+005714.1
0.418000 0.994000 084929.69+005218.4
0.419800 0.584000 224256.48+005155.2
0.424000 -1.517000 141500.37+520658.5
0.427000 1.423000 084118.14+015406.6
0.429000 0.496000 020326.33-055531.5
0.430000 1.448000 021620.16-060537.0
0.433600 0.925000 141637.44+003352.2
0.434000 1.598000 021037.66-044559.1
0.438800 1.227000 223356.68-001743.7
0.441000 0.701000 221837.49-001731.7
0.442100 1.665000 221712.61-002502.8
0.443800 1.150000 090305.91+014850.7
0.445000 1.590000 021448.84-040601.7
0.446100 1.547000 220906.91+004543.9
0.448000 0.959000 021633.09-043031.2
0.448100 1.131000 115403.00+003154.0
0.451900 1.202000 221410.92+004524.3
0.454500 1.141000 085559.00+005745.4
0.456000 0.773000 37.119624
0.458000 1.576000 021103.17-041425.0
0.464000 0.978000 020354.68-060844.0
0.466000 1.478000 022258.90-045852.4
0.468700 1.551000 221956.75+005913.3
0.471000 1.198000 021944.36-052053.8
0.474000 1.319000 142039.79+520359.7
0.477000 2.291000 022437.11-054511.2
0.477900 1.462000 221449.37+011525.3
0.479200 1.272000 222000.58+010742.1
0.481000 1.527000 141724.59+523024.8
0.483000 1.316000 020849.34-045059.0
0.486000 0.010000 021139.03-042606.7
0.490000 1.242000 022347.04-043348.1
0.492000 1.459000 021015.45-061012.9
0.493000 3.949000 023331.05-054550.9
0.494000 1.583000 38.368532
0.497000 1.149000 021624.80-041432.1
0.501000 3.227000 022133.83-054842.8
0.503000 1.039000 021736.36-041943.2
0.505000 1.234000 022738.94-045832.4
0.512000 1.769000 020257.39-051225.4
0.514000 1.134000 020313.15-051057.6
0.514000 1.520000 021834.48-051357.0
0.515000 1.375000 021950.50-040141.0
0.519000 1.103000 020337.29-051406.4
0.521000 1.677000 38.288235
0.523000 1.177000 022449.24-041802.1
0.525000 0.924000 021104.17-045325.1
0.525400 0.250000 085755.37-000818.5
0.527700 0.960000 221306.73-001357.7
0.529000 1.176000 02152.991-051141.5
0.531000 1.495000 021405.31-055118.3
0.531000 2.274000 161930.62+423131.8
0.533000 1.012000 020634.06-042534.5
0.535000 0.953000 020942.78-042830.3
0.537200 3.188000 085038.51+014331.9
0.538600 1.205000 120619.12-010027.3
0.540000 0.860000 021006.85-051538.5
0.542000 1.197000 085451.72+012609.9
0.543000 0.834000 022116.34-050819.0
0.544000 1.226000 090350.04-000259.5
0.547000 1.664000 085801.33-000747.3
0.548000 1.134000 223648.15+011124.0
0.551000 1.308000 022228.40-040152.9
0.552300 1.677000 115240.52-003004.3
0.553000 -3.536000 021535.27-032722.9
0.553400 1.517000 222741.66+002838.5
0.554000 0.964000 022145.27-033354.9
0.556000 1.440000 020853.28-043353.5
0.557600 1.468000 090843.23+014821.2
0.560011 1.161000 020719.48-033600.6
0.560600 1.411000 085944.86-000301.0
0.562400 0.672000 161639.78+434221.2
0.563074 1.092000 141907.91+530025.5
0.565000 1.205000 36.396045
0.566000 0.683000 021454.15-051414.2
0.566300 1.827000 120620.51-003852.1
0.569000 0.470000 37.465567
0.570600 0.929000 143833.49-011413.7
0.572000 1.289000 021632.96-060113.5
0.572300 1.431000 084820.15+014620.3
0.575000 0.801000 022032.13-033032.2
0.578000 1.170000 020450.76-041628.6
0.580203 1.290000 021619.08-034430.5
0.585600 1.586000 223925.92+000340.3
0.589000 1.960000 37.949768
0.590900 0.775000 115832.81+005139.1
0.594000 1.233000 222923.37+003244.2
0.596000 1.101000 021010.28-035930.9
0.597000 1.229000 020308.98-060834.5
0.598000 1.589000 38.314685
0.599600 1.495000 220749.50-002813.3
0.600000 -0.519000 021642.05-045559.6
0.600000 1.253000 023025.82-042354.5
0.601900 1.431000 115342.99-001159.7
0.602300 1.496000 222030.08-002216.2
0.603000 1.021000 223624.24+012716.9
0.609141 1.709000 021130.36-041350.9
0.610000 0.846000 37.749407
0.614000 1.117000 022246.24-041450.8
0.616000 1.723000 021259.54-060838.8
0.616700 1.834000 090006.26+021537.3
0.621100 0.841000 162039.12+430814.5
0.622000 1.083000 022142.64-052037.8
0.624000 -0.520000 162520.01+424435.5
0.627000 0.602000 022131.97-053853.8
0.629000 0.904000 021702.14-035645.7
0.634500 1.394000 220946.73-003535.5
0.636100 1.447000 221951.03+010310.2
0.638000 1.956000 222006.62-001147.2
0.641000 1.869000 021402.24-051317.4
0.645000 1.004000 021934.07-052058.2
0.645000 1.982000 023057.03-053154.1
0.645700 0.918000 084856.08+011540.0
0.646000 1.133000 021758.16-042522.1
0.647000 1.679000 021905.59-051443.4
0.648000 1.685000 38.214729999999996
0.649000 0.767000 020744.06-060955.9
0.649000 2.022000 141911.52+002646.2
0.650000 1.222000 020814.04-041945.5
0.650000 0.904000 222220.43+015723.3
0.652000 1.876000 084541.22+001316.3
0.653000 0.843000 020734.47-060542.7
0.653000 0.866000 021046.40-054854.0
0.653000 1.228000 220820.60+013030.2
0.655000 1.194000 120601.73+004212.7
0.664000 1.552000 223630.92+004541.3
0.667000 0.818000 37.540223
0.667000 3.565000 115929.24+010554.1
0.669000 0.959000 085430.23-000418.1
0.670900 1.486000 120553.64-004651.1
0.672000 2.205000 021329.06-043446.8
0.675000 -0.213000 021517.88-055706.5
0.675000 0.409000 222841.63+002217.8
0.679000 1.584000 084212.11+010358.3
0.679800 -1.510000 142352.01-000705.2
0.681200 0.593000 085531.21+015346.8
0.683000 -1.260000 222005.58+013227.1
0.687000 1.237000 161429.14+434903.5
0.690000 1.151000 021933.75-054920.1
0.691000 0.714000 115333.98+010904.9
0.693000 1.136000 022605.44-043226.8
0.693000 1.622000 115723.32+001708.9
0.693000 1.022000 223738.01+003648.6
0.694000 1.619000 023053.85-035702.0
0.695000 0.750000 37.567617999999996
0.697000 1.431000 020454.66-051014.4
0.698000 2.539000 120554.25-004428.2
0.701000 0.865000 090601.66+002020.7
0.704300 1.415000 223347.95+004336.6
0.707000 0.599000 084230.96+010829.2
0.707000 0.624000 141526.07+000448.5
0.710600 1.048000 223633.98+002913.2
0.711000 0.716000 223537.26+003551.4
0.714500 1.519000 224145.41-000122.6
0.715000 0.769000 161408.54+432404.1
0.716000 -0.109000 141506.93-001000.2
0.719000 1.565000 142240.36-010646.1
0.722000 0.789000 022716.12-044539.1
0.723000 0.528000 021453.66-042844.8
0.725900 1.178000 085635.78+014247.0
0.729800 0.847000 115412.54-000153.2
0.730086 -0.822000 023142.18-033322.7
0.732000 2.109000 020659.51-042343.3
0.732000 1.369000 085717.97+014953.3
0.733000 0.884000 221854.37+002656.7
0.740000 -0.176000 021331.35-042849.5
0.741000 0.973000 020411.04-042526.9
0.741700 1.476000 114909.13-002349.7
0.742000 1.074000 021320.16-050751.1
0.744000 1.241000 221029.67+010843.8
0.745000 0.914000 223259.47+000502.5
0.746500 0.586000 115403.28-005253.4
0.748000 1.957000 090433.45+012050.3
0.748000 0.900000 163342.24+425946.4
0.751000 1.148000 021756.83-035316.6
0.751000 0.871000 161841.15+430440.6
0.753000 0.781000 141712.96+520957.5
0.753000 1.230000 222941.56+005901.6
0.754000 0.718000 221751.96+010049.0
0.754400 1.018000 221620.26-001632.3
0.758700 0.769000 221146.16-003513.5
0.759000 0.863000 221217.03-003151.7
0.762000 -0.050000 161224.53+440349.2
0.765000 1.959000 020723.77-044011.5
0.765600 0.575000 222615.67+004709.1
0.766550 0.868000 020625.17-044032.6
0.768000 1.053000 021322.56-054100.3
0.769000 1.511000 022011.63-044020.3
0.770000 1.470000 021946.18-050041.2
0.771000 0.943000 022003.08-035247.3
0.772000 0.316000 085103.39+005355.1
0.774000 0.799000 084956.36+005903.7
0.775000 1.239000 085836.03+015044.4
0.777000 0.615000 37.341334
0.777000 0.618000 223614.77-001241.9
0.779000 1.136000 021016.88-054328.3
0.780000 0.700000 090240.51+020743.8
0.781000 1.665000 38.573048
0.782000 0.732000 021928.90-040700.1
0.782000 -2.068000 090112.04+011549.5
0.784000 0.801000 021743.03-043624.9
0.784900 1.406000 223606.68+000704.4
0.786000 0.976000 022842.20-053527.3
0.788000 0.166000 021705.52-042253.5
0.789000 -0.320000 220704.52+011032.1
