z color ID
0.139000 1.657000 020649.47-041452.7
0.141000 1.433000 021359.31-043945.1
0.142000 1.469000 38.248043
0.152000 1.204000 021838.92-042041.3
0.166000 -6.244000 022012.23-034111.7
0.184000 1.674000 223702.93+011120.2
0.190000 1.418000 37.321279
0.198000 1.575000 020201.75-045221.7
0.206000 1.530000 38.227777
0.212000 1.461000 020427.68-043739.2
0.215000 1.843000 022253.61-042929.2
0.219500 1.546000 142648.77+005323.2
0.223500 2.003000 222230.16+010231.4
0.231000 2.264000 020139.25-050118.7
0.236000 1.559000 021342.89-060758.4
0.243458 1.139000 021020.43-034226.1
0.252000 1.722000 020414.13-041323.8
0.253000 1.523000 022024.78-050231.8
0.259900 1.298000 115758.72-002220.9
0.260700 1.386000 115755.47+001704.0
0.260800 1.715000 090054.40+012605.3
0.272405 2.296000 021303.34-034801.4
0.276000 1.539000 022202.76-050944.5
0.281000 2.072000 141751.13+522311.0
0.286000 1.968000 020711.13-051544.3
0.290000 2.228000 021936.14-034802.0
0.292000 0.842000 021930.51-055643.0
0.293000 2.213000 222315.10-002610.5
0.297000 1.760000 021309.12-055142.8
0.299000 1.853000 022435.81-053645.6
0.300000 1.675000 021504.48-044618.9
0.307000 1.603000 37.368373999999996
0.307900 1.926000 161725.41+435843.4
0.314000 2.201000 020507.27-041135.6
0.315000 1.564000 021759.71-034359.9
0.318000 2.256000 022711.99-033353.2
0.318300 4.337000 142441.20-000727.1
0.322000 2.102000 022430.56-050841.8
0.324000 1.424000 021637.68-045923.2
0.324700 1.865000 143624.81-002905.3
0.326000 2.142000 020411.47-051032.7
0.326000 1.780000 37.552353000000004
0.326300 2.381000 142545.90+002242.7
0.328700 2.191000 084940.34+014638.4
0.330700 2.424000 162308.00+430646.1
0.331000 2.057000 022651.77-045715.0
0.332000 2.051000 020423.94-050619.6
0.333000 2.031000 142800.19-001026.9
0.334000 3.077000 37.705566999999995
0.347000 2.529000 021350.92-040819.3
0.351500 2.210000 143929.51-001118.3
0.353800 2.400000 090550.30+003948.1
0.354000 1.819000 38.155134000000004
0.358000 1.847000 37.570149
0.362000 2.135000 020514.77-045639.7
0.363000 1.942000 37.661116
0.364000 2.122000 37.649283000000004
0.365000 2.363000 37.233151
0.366000 2.154000 142310.36-003244.2
0.372000 1.635000 021839.30-040821.4
0.374000 1.659000 37.110304
0.376000 1.774000 020717.51-045105.9
0.378000 2.078000 38.222424
0.383300 1.848000 120710.25+000806.1
0.385000 2.314000 021359.12-054436.6
0.387700 2.509000 224139.03+003808.3
0.394000 2.469000 020515.23-043959.6
0.399000 3.214000 120729.36-003214.3
0.400400 2.456000 221155.73-001043.9
0.404000 2.132000 020102.88-044519.0
0.406500 2.134000 144233.13-010210.6
0.408000 2.427000 120039.06-002046.8
0.408600 2.240000 221311.03+000724.5
0.412700 1.946000 085056.94+014711.0
0.417000 2.359000 084617.25+015536.1
0.417400 2.012000 084701.78+005714.1
0.418000 2.317000 084929.69+005218.4
0.419800 0.075000 224256.48+005155.2
0.424000 -0.356000 141500.37+520658.5
0.427000 2.367000 084118.14+015406.6
0.429000 1.547000 020326.33-055531.5
0.430000 1.967000 021620.16-060537.0
0.433600 1.868000 141637.44+003352.2
0.434000 2.517000 021037.66-044559.1
0.438800 2.084000 223356.68-001743.7
0.441000 1.454000 221837.49-001731.7
0.442100 2.709000 221712.61-002502.8
0.443800 1.876000 090305.91+014850.7
0.445000 2.622000 021448.84-040601.7
0.446100 2.638000 220906.91+004543.9
0.448000 1.512000 021633.09-043031.2
0.448100 1.890000 115403.00+003154.0
0.451900 1.524000 221410.92+004524.3
0.454500 1.977000 085559.00+005745.4
0.456000 1.440000 37.119624
0.458000 2.465000 021103.17-041425.0
0.464000 1.912000 020354.68-060844.0
0.466000 2.228000 022258.90-045852.4
0.468700 2.606000 221956.75+005913.3
0.471000 1.985000 021944.36-052053.8
0.474000 2.174000 142039.79+520359.7
0.477000 2.869000 022437.11-054511.2
0.477900 2.514000 221449.37+011525.3
0.479200 2.428000 222000.58+010742.1
0.481000 2.546000 141724.59+523024.8
0.483000 2.469000 020849.34-045059.0
