ID filter hostmag
020649.47-041452.7 I 17.556000
020649.47-041452.7 G 18.928000
020649.47-041452.7 R 17.983000
020649.47-041452.7 Z 17.270000
020649.47-041452.7 Y 17.086000
021359.31-043945.1 I 17.697000
021359.31-043945.1 G 18.878000
021359.31-043945.1 R 18.075000
021359.31-043945.1 Z 17.444000
021359.31-043945.1 Y 17.314000
38.248043 I 17.714000
38.248043 G 18.917000
38.248043 R 18.106000
38.248043 Z 17.450000
38.248043 Y 17.275000
021838.92-042041.3 I 17.065000
021838.92-042041.3 G 18.079000
021838.92-042041.3 R 17.369000
021838.92-042041.3 Z 16.860000
021838.92-042041.3 Y 16.737000
022012.23-034111.7 I 16.362000
022012.23-034111.7 G 16.017000
022012.23-034111.7 R 17.484000
022012.23-034111.7 Z 17.007000
022012.23-034111.7 Y 17.048000
223702.93+011120.2 I 17.223000
223702.93+011120.2 G 18.628000
223702.93+011120.2 R 17.678000
223702.93+011120.2 Z 16.935000
223702.93+011120.2 Y 16.766000
37.321279 I 18.998000
37.321279 G 20.266000
37.321279 R 19.412000
37.321279 Z 18.734000
37.321279 Y 18.602000
020201.75-045221.7 I 18.744000
020201.75-045221.7 G 20.075000
020201.75-045221.7 R 19.157000
020201.75-045221.7 Z 18.500000
020201.75-045221.7 Y 18.355000
38.227777 I 17.520000
38.227777 G 18.794000
38.227777 R 17.911000
38.227777 Z 17.264000
38.227777 Y 17.105000
020427.68-043739.2 I 19.443000
020427.68-043739.2 G 20.707000
020427.68-043739.2 R 19.859000
020427.68-043739.2 Z 19.246000
020427.68-043739.2 Y 19.031000
022253.61-042929.2 I 18.248000
022253.61-042929.2 G 19.978000
022253.61-042929.2 R 18.812000
022253.61-042929.2 Z 18.184000
022253.61-042929.2 Y 18.031000
142648.77+005323.2 I 17.697000
142648.77+005323.2 G 19.734000
142648.77+005323.2 R 18.421000
142648.77+005323.2 Z 18.165000
142648.77+005323.2 Y 18.077000
222230.16+010231.4 I 17.690000
222230.16+010231.4 G 19.140000
222230.16+010231.4 R 18.211000
222230.16+010231.4 Z 17.545000
222230.16+010231.4 Y 17.397000
020139.25-050118.7 I 19.013000
020139.25-050118.7 G 20.988000
020139.25-050118.7 R 19.496000
020139.25-050118.7 Z 18.727000
020139.25-050118.7 Y 18.536000
021342.89-060758.4 I 17.527000
021342.89-060758.4 G 18.856000
021342.89-060758.4 R 17.956000
021342.89-060758.4 Z 17.297000
021342.89-060758.4 Y 17.128000
021020.43-034226.1 I 17.969000
021020.43-034226.1 G 19.024000
021020.43-034226.1 R 18.353000
021020.43-034226.1 Z 17.827000
021020.43-034226.1 Y 17.685000
020414.13-041323.8 I 18.590000
020414.13-041323.8 G 20.069000
020414.13-041323.8 R 18.994000
020414.13-041323.8 Z 18.351000
020414.13-041323.8 Y 18.170000
022024.78-050231.8 I 19.412000
022024.78-050231.8 G 20.670000
022024.78-050231.8 R 19.903000
022024.78-050231.8 Z 19.149000
022024.78-050231.8 Y 18.995000
115758.72-002220.9 I 17.596000
115758.72-002220.9 G 19.272000
115758.72-002220.9 R 17.958000
115758.72-002220.9 Z 18.016000
115758.72-002220.9 Y 17.764000
115755.47+001704.0 I 18.985000
115755.47+001704.0 G 20.299000
115755.47+001704.0 R 19.497000
115755.47+001704.0 Z 18.918000
115755.47+001704.0 Y 18.771000
090054.40+012605.3 I 17.987000
090054.40+012605.3 G 19.457000
090054.40+012605.3 R 18.403000
090054.40+012605.3 Z 17.744000
090054.40+012605.3 Y 17.513000
021303.34-034801.4 I 19.570000
021303.34-034801.4 G 21.566000
021303.34-034801.4 R 20.399000
021303.34-034801.4 Z 19.271000
021303.34-034801.4 Y 19.099000
022202.76-050944.5 I 18.575000
022202.76-050944.5 G 20.097000
022202.76-050944.5 R 19.061000
022202.76-050944.5 Z 18.390000
022202.76-050944.5 Y 18.270000
141751.13+522311.0 I 19.842000
141751.13+522311.0 G 21.619000
141751.13+522311.0 R 20.355000
141751.13+522311.0 Z 19.549000
