z color ID
0.139000 0.896000 020649.47-041452.7
0.141000 0.761000 021359.31-043945.1
0.142000 0.833000 38.248043
0.152000 0.659000 021838.92-042041.3
0.166000 0.679000 022012.23-034111.7
0.184000 0.904000 223702.93+011120.2
0.190000 0.811000 37.321279
0.198000 0.802000 020201.75-045221.7
0.206000 0.806000 38.227777
0.212000 0.832000 020427.68-043739.2
0.215000 0.874000 022253.61-042929.2
0.219500 0.321000 142648.77+005323.2
0.223500 1.012000 222230.16+010231.4
0.231000 0.960000 020139.25-050118.7
0.236000 0.829000 021342.89-060758.4
0.243458 0.659000 021020.43-034226.1
0.252000 0.745000 020414.13-041323.8
0.253000 0.903000 022024.78-050231.8
0.259900 0.171000 115758.72-002220.9
0.260700 0.722000 115755.47+001704.0
0.260800 0.891000 090054.40+012605.3
0.272405 1.298000 021303.34-034801.4
0.276000 0.787000 022202.76-050944.5
0.281000 1.023000 141751.13+522311.0
0.286000 0.951000 020711.13-051544.3
0.290000 1.122000 021936.14-034802.0
0.292000 0.051000 021930.51-055643.0
0.293000 1.121000 222315.10-002610.5
0.297000 0.906000 021309.12-055142.8
0.299000 0.819000 022435.81-053645.6
0.300000 0.815000 021504.48-044618.9
0.307000 0.363000 37.368373999999996
0.307900 0.872000 161725.41+435843.4
0.314000 0.816000 020507.27-041135.6
0.315000 0.749000 021759.71-034359.9
0.318000 1.022000 022711.99-033353.2
0.318300 1.698000 142441.20-000727.1
0.322000 0.962000 022430.56-050841.8
0.324000 0.774000 021637.68-045923.2
0.324700 0.746000 143624.81-002905.3
0.326000 0.978000 020411.47-051032.7
0.326000 0.789000 37.552353000000004
0.326300 1.220000 142545.90+002242.7
0.328700 1.073000 084940.34+014638.4
0.330700 1.051000 162308.00+430646.1
0.331000 1.074000 022651.77-045715.0
0.332000 0.953000 020423.94-050619.6
0.333000 0.994000 142800.19-001026.9
0.334000 1.689000 37.705566999999995
0.347000 1.112000 021350.92-040819.3
0.351500 1.057000 143929.51-001118.3
0.353800 1.076000 090550.30+003948.1
0.354000 0.774000 38.155134000000004
0.358000 0.897000 37.570149
0.362000 0.995000 020514.77-045639.7
0.363000 0.953000 37.661116
0.364000 1.176000 37.649283000000004
0.365000 1.112000 37.233151
0.366000 1.053000 142310.36-003244.2
0.372000 0.737000 021839.30-040821.4
0.374000 0.891000 37.110304
0.376000 0.679000 020717.51-045105.9
0.378000 0.979000 38.222424
0.383300 0.884000 120710.25+000806.1
0.385000 1.152000 021359.12-054436.6
0.387700 1.326000 224139.03+003808.3
0.394000 1.132000 020515.23-043959.6
0.399000 1.562000 120729.36-003214.3
0.400400 1.131000 221155.73-001043.9
0.406500 0.930000 144233.13-010210.6
0.408000 1.286000 120039.06-002046.8
0.408600 1.090000 221311.03+000724.5
0.412700 0.935000 085056.94+014711.0
0.414000 0.969000 084400.18+004732.2
0.417000 0.823000 084617.25+015536.1
0.417400 1.069000 084701.78+005714.1
0.418000 1.436000 084929.69+005218.4
0.419800 1.011000 224256.48+005155.2
0.424000 0.949000 141500.37+520658.5
0.427000 1.102000 084118.14+015406.6
0.429000 1.494000 020326.33-055531.5
0.430000 0.612000 021620.16-060537.0
0.430277 2.771000 022413.71-032919.0
0.433600 1.439000 141637.44+003352.2
0.434000 1.083000 021037.66-044559.1
0.435000 1.037000 115148.00-005856.9
0.438800 1.125000 223356.68-001743.7
0.439200 0.487000 084434.97+005517.7
0.441000 1.491000 221837.49-001731.7
0.442100 1.241000 221712.61-002502.8
0.443800 0.994000 090305.91+014850.7
0.445000 1.207000 021448.84-040601.7
0.446100 0.944000 220906.91+004543.9
0.448000 0.909000 021633.09-043031.2
0.448100 1.043000 115403.00+003154.0
0.451900 1.115000 221410.92+004524.3
0.454500 1.011000 085559.00+005745.4
0.456000 0.946000 37.119624
0.458000 0.983000 021103.17-041425.0
0.464000 1.184000 020354.68-060844.0
0.466000 0.633000 022258.90-045852.4
0.468700 1.260000 221956.75+005913.3
0.471000 1.033000 021944.36-052053.8
0.474000 0.895000 142039.79+520359.7
0.477000 1.220000 022437.11-054511.2
0.477900 1.415000 221449.37+011525.3
0.479200 1.223000 222000.58+010742.1
0.481000 1.104000 141724.59+523024.8
0.483000 0.846000 020849.34-045059.0
0.486000 -1.292000 021139.03-042606.7
0.490000 1.150000 022347.04-043348.1
0.492000 1.073000 021015.45-061012.9
0.493000 0.063000 023331.05-054550.9
0.494000 1.291000 38.368532
0.495000 1.034000 221634.20-002712.6
0.497000 1.051000 021624.80-041432.1
0.501000 -0.138000 022133.83-054842.8
0.503000 1.195000 021736.36-041943.2
0.505000 1.243000 022738.94-045832.4
0.508900 1.034000 084749.23+021714.8
0.512000 1.239000 020257.39-051225.4
0.514000 1.441000 020313.15-051057.6
0.514000 1.254000 021834.48-051357.0
0.514200 1.729000 141949.83-000643.7
0.515000 1.207000 021950.50-040141.0
0.519000 1.416000 020337.29-051406.4
0.521000 1.420000 38.288235
0.523000 1.153000 022449.24-041802.1
0.525000 0.867000 021104.17-045325.1
0.525400 -0.540000 085755.37-000818.5
0.526000 1.556000 141522.53+524421.5
0.527700 0.916000 221306.73-001357.7
0.529000 1.121000 02152.991-051141.5
0.531000 0.759000 021405.31-055118.3
0.531000 1.423000 161930.62+423131.8
0.533000 0.982000 020634.06-042534.5
0.535000 1.280000 020942.78-042830.3
0.537200 0.733000 085038.51+014331.9
0.538600 1.234000 120619.12-010027.3
0.540000 -0.588000 021006.85-051538.5
0.542000 1.064000 085451.72+012609.9
0.543000 1.176000 022116.34-050819.0
0.544000 1.176000 090350.04-000259.5
0.547000 -0.013000 085801.33-000747.3
0.548000 1.330000 223648.15+011124.0
0.549300 1.178000 223045.05-000538.2
0.551000 1.165000 022228.40-040152.9
0.552300 1.553000 115240.52-003004.3
0.553000 5.386000 021535.27-032722.9
0.553400 1.462000 222741.66+002838.5
0.554000 1.435000 022145.27-033354.9
0.555600 1.466000 085727.30+015509.5
0.556000 1.493000 020853.28-043353.5
0.557600 1.245000 090843.23+014821.2
0.559000 1.223000 021218.44-041456.4
0.560000 1.619000 020225.98-061156.4
0.560011 1.149000 020719.48-033600.6
0.562400 0.879000 161639.78+434221.2
0.563074 1.417000 141907.91+530025.5
0.565000 1.382000 36.396045
0.566000 0.126000 021454.15-051414.2
0.566300 -0.547000 120620.51-003852.1
0.567400 1.846000 142526.50-004421.5
0.569000 1.702000 37.465567
0.570600 0.928000 143833.49-011413.7
0.572000 2.082000 021632.96-060113.5
0.572300 1.605000 084820.15+014620.3
0.573000 0.953000 021808.84-055629.8
0.575000 1.116000 022032.13-033032.2
0.576000 0.971000 115302.69+011027.8
0.578000 1.286000 020450.76-041628.6
0.579000 1.489000 022001.26-034830.0
0.579500 1.458000 085717.45+014547.1
0.580203 1.269000 021619.08-034430.5
0.585000 2.512000 022125.05-055638.0
0.585600 1.415000 223925.92+000340.3
0.589000 0.709000 37.949768
0.590900 0.755000 115832.81+005139.1
0.594000 1.110000 222923.37+003244.2
0.596000 1.133000 021010.28-035930.9
0.597000 1.402000 020308.98-060834.5
0.598000 1.427000 38.314685
0.598000 1.346000 142352.63-004924.6
0.599000 2.070000 021037.60-033904.8
0.599600 1.126000 220749.50-002813.3
0.600000 1.502000 023025.82-042354.5
0.601900 1.457000 115342.99-001159.7
0.602300 1.675000 222030.08-002216.2
0.603000 0.785000 223624.24+012716.9
0.606000 -0.636000 022445.34-035509.4
0.606000 0.214000 143005.51-011321.6
0.608000 1.198000 37.262146
0.609141 1.132000 021130.36-041350.9
0.610000 0.982000 37.749407
0.614000 1.293000 022246.24-041450.8
0.616000 1.837000 021259.54-060838.8
0.616700 1.393000 090006.26+021537.3
0.619000 1.574000 022802.15-035247.6
0.621100 1.489000 162039.12+430814.5
0.622000 1.004000 022142.64-052037.8
0.624000 -0.203000 162520.01+424435.5
0.627000 1.253000 022131.97-053853.8
0.628000 1.486000 38.64765
0.629000 1.185000 021702.14-035645.7
0.630000 1.775000 020843.70-041551.5
0.632000 2.023000 021748.25-053909.6
0.634500 1.273000 220946.73-003535.5
0.636100 1.533000 221951.03+010310.2
0.638000 1.154000 222006.62-001147.2
0.641000 1.406000 021402.24-051317.4
0.645000 1.610000 021934.07-052058.2
