ID filter results
020649.47-041452.7 I {'amp': 235.457, 'R_sersic': 1.558, 'n_sersic': 1.4, 'center_x': -0.075, 'center_y': 0.094, 'phi_G': 0.015, 'q': 0.789, 'QSO_amp': 1792.133, 'host_amp': 5992.536, 'host_flux_ratio_percent': 76.979, 'host_mag': 17.556, 'qso_x': -0.053, 'qso_y': 0.119, 'redu_Chisq': 11.962374}
020649.47-041452.7 G {'amp': 66.581, 'R_sersic': 1.558, 'n_sersic': 1.4, 'center_x': -0.083, 'center_y': 0.073, 'phi_G': 0.015, 'q': 0.789, 'QSO_amp': 800.919, 'host_amp': 1693.907, 'host_flux_ratio_percent': 67.897, 'host_mag': 18.928, 'qso_x': -0.054, 'qso_y': 0.123, 'redu_Chisq': 4.140464}
020649.47-041452.7 R {'amp': 158.934, 'R_sersic': 1.558, 'n_sersic': 1.4, 'center_x': -0.089, 'center_y': 0.096, 'phi_G': 0.015, 'q': 0.789, 'QSO_amp': 973.9, 'host_amp': 4043.906, 'host_flux_ratio_percent': 80.591, 'host_mag': 17.983, 'qso_x': -0.057, 'qso_y': 0.118, 'redu_Chisq': 7.320223}
020649.47-041452.7 Z {'amp': 306.06, 'R_sersic': 1.558, 'n_sersic': 1.4, 'center_x': -0.065, 'center_y': 0.101, 'phi_G': 0.015, 'q': 0.789, 'QSO_amp': 1812.952, 'host_amp': 7795.372, 'host_flux_ratio_percent': 81.131, 'host_mag': 17.27, 'qso_x': -0.057, 'qso_y': 0.112, 'redu_Chisq': 6.777758}
020649.47-041452.7 Y {'amp': 363.454, 'R_sersic': 1.558, 'n_sersic': 1.4, 'center_x': -0.072, 'center_y': 0.104, 'phi_G': 0.015, 'q': 0.789, 'QSO_amp': 1969.204, 'host_amp': 9234.268, 'host_flux_ratio_percent': 82.423, 'host_mag': 17.086, 'qso_x': -0.054, 'qso_y': 0.121, 'redu_Chisq': 2.322386}
021359.31-043945.1 I {'amp': 166.209, 'R_sersic': 2.395, 'n_sersic': 1.386, 'center_x': 0.119, 'center_y': -0.078, 'phi_G': 0.125, 'q': 0.444, 'QSO_amp': 876.451, 'host_amp': 5262.62, 'host_flux_ratio_percent': 85.723, 'host_mag': 17.697, 'qso_x': 0.098, 'qso_y': -0.126, 'redu_Chisq': 25.116199}
021359.31-043945.1 G {'amp': 56.199, 'R_sersic': 2.395, 'n_sersic': 1.386, 'center_x': 0.289, 'center_y': -0.059, 'phi_G': 0.125, 'q': 0.444, 'QSO_amp': 217.64, 'host_amp': 1773.26, 'host_flux_ratio_percent': 89.068, 'host_mag': 18.878, 'qso_x': 0.252, 'qso_y': -0.126, 'redu_Chisq': 11.337656}
021359.31-043945.1 R {'amp': 117.848, 'R_sersic': 2.395, 'n_sersic': 1.386, 'center_x': 0.294, 'center_y': -0.068, 'phi_G': 0.125, 'q': 0.444, 'QSO_amp': 571.837, 'host_amp': 3715.574, 'host_flux_ratio_percent': 86.662, 'host_mag': 18.075, 'qso_x': 0.252, 'qso_y': -0.106, 'redu_Chisq': 9.705038}
021359.31-043945.1 Z {'amp': 209.977, 'R_sersic': 2.395, 'n_sersic': 1.386, 'center_x': 0.115, 'center_y': -0.076, 'phi_G': 0.125, 'q': 0.444, 'QSO_amp': 1032.538, 'host_amp': 6640.878, 'host_flux_ratio_percent': 86.544, 'host_mag': 17.444, 'qso_x': 0.107, 'qso_y': -0.128, 'redu_Chisq': 8.256045}
021359.31-043945.1 Y {'amp': 237.17, 'R_sersic': 2.395, 'n_sersic': 1.386, 'center_x': 0.124, 'center_y': -0.079, 'phi_G': 0.125, 'q': 0.444, 'QSO_amp': 1212.187, 'host_amp': 7488.201, 'host_flux_ratio_percent': 86.067, 'host_mag': 17.314, 'qso_x': 0.11, 'qso_y': -0.124, 'redu_Chisq': 2.51433}
38.248043 I {'amp': 133.197, 'R_sersic': 2.775, 'n_sersic': 2.058, 'center_x': 0.2, 'center_y': 0.016, 'phi_G': -0.538, 'q': 0.359, 'QSO_amp': 1169.89, 'host_amp': 5178.9, 'host_flux_ratio_percent': 81.573, 'host_mag': 17.714, 'qso_x': 0.144, 'qso_y': 0.053, 'redu_Chisq': 42.417396}
38.248043 G {'amp': 44.22, 'R_sersic': 2.775, 'n_sersic': 2.058, 'center_x': 0.196, 'center_y': 0.024, 'phi_G': -0.538, 'q': 0.359, 'QSO_amp': 261.522, 'host_amp': 1710.983, 'host_flux_ratio_percent': 86.742, 'host_mag': 18.917, 'qso_x': 0.141, 'qso_y': 0.037, 'redu_Chisq': 9.844732}
38.248043 R {'amp': 93.386, 'R_sersic': 2.775, 'n_sersic': 2.058, 'center_x': 0.204, 'center_y': 0.022, 'phi_G': -0.538, 'q': 0.359, 'QSO_amp': 670.294, 'host_amp': 3609.86, 'host_flux_ratio_percent': 84.339, 'host_mag': 18.106, 'qso_x': 0.147, 'qso_y': 0.046, 'redu_Chisq': 6.110723}
38.248043 Z {'amp': 170.359, 'R_sersic': 2.775, 'n_sersic': 2.058, 'center_x': 0.202, 'center_y': 0.015, 'phi_G': -0.538, 'q': 0.359, 'QSO_amp': 1500.377, 'host_amp': 6607.727, 'host_flux_ratio_percent': 81.495, 'host_mag': 17.45, 'qso_x': 0.148, 'qso_y': 0.054, 'redu_Chisq': 8.559767}
38.248043 Y {'amp': 200.31, 'R_sersic': 2.775, 'n_sersic': 2.058, 'center_x': 0.223, 'center_y': 0.014, 'phi_G': -0.538, 'q': 0.359, 'QSO_amp': 1763.312, 'host_amp': 7759.866, 'host_flux_ratio_percent': 81.484, 'host_mag': 17.275, 'qso_x': 0.147, 'qso_y': 0.062, 'redu_Chisq': 3.338415}
021838.92-042041.3 I {'amp': 331.938, 'R_sersic': 1.572, 'n_sersic': 2.482, 'center_x': -0.023, 'center_y': 0.155, 'phi_G': 0.364, 'q': 0.704, 'QSO_amp': 750.559, 'host_amp': 9417.231, 'host_flux_ratio_percent': 92.618, 'host_mag': 17.065, 'qso_x': -0.058, 'qso_y': 0.168, 'redu_Chisq': 74.37916}
021838.92-042041.3 G {'amp': 130.79, 'R_sersic': 1.572, 'n_sersic': 2.482, 'center_x': 0.013, 'center_y': -0.008, 'phi_G': 0.364, 'q': 0.704, 'QSO_amp': 380.062, 'host_amp': 3700.963, 'host_flux_ratio_percent': 90.687, 'host_mag': 18.079, 'qso_x': -0.077, 'qso_y': -0.008, 'redu_Chisq': 19.97775}
021838.92-042041.3 R {'amp': 251.817, 'R_sersic': 1.572, 'n_sersic': 2.482, 'center_x': -0.005, 'center_y': -0.009, 'phi_G': 0.364, 'q': 0.704, 'QSO_amp': 328.824, 'host_amp': 7117.247, 'host_flux_ratio_percent': 95.584, 'host_mag': 17.369, 'qso_x': -0.1, 'qso_y': 0.0, 'redu_Chisq': 16.930845}
021838.92-042041.3 Z {'amp': 401.279, 'R_sersic': 1.572, 'n_sersic': 2.482, 'center_x': -0.023, 'center_y': 0.159, 'phi_G': 0.364, 'q': 0.704, 'QSO_amp': 540.839, 'host_amp': 11377.188, 'host_flux_ratio_percent': 95.462, 'host_mag': 16.86, 'qso_x': -0.073, 'qso_y': 0.168, 'redu_Chisq': 25.931202}
